phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues,url,src,alt,has_alt
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/data-and-persistence/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/capability-security/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/capability-security/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/secret-boundaries/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/secret-boundaries/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/ai-effects-and-messages/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/ai-effects-and-messages/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/request-identity/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/request-identity/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/record-and-replay/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/record-and-replay/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/streaming/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/streaming/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/structured-outputs/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/structured-outputs/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/context-and-vectors/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/context-and-vectors/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/tool-loops/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/tool-loops/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/mechanism-and-policy/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/mechanism-and-policy/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/loop-engineering/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/loop-engineering/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/evaluation/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/evaluation/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/evidence-and-handoffs/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/evidence-and-handoffs/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/isolation-and-observability/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/isolation-and-observability/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/mcp-interoperability/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/course/mcp-interoperability/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-1/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-1/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-2/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-2/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-3/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-3/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-4/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-4/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-5/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-5/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-6/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/build-6/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/capstone/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/capstone/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/explorer/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/explorer/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/about/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/about/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/evidence/","/assets/kujo-logomark.svg","","true"
"after","","","","","","36","36","","","","","","https://kujo.robertdevore.com/evidence/","/assets/kujo-logomark.svg","","true"
