phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/match-result-option/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/match-result-option/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/match-result-option/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/match-result-option/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/exceptions/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/exceptions/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/exceptions/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/exceptions/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/optional-typing/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/optional-typing/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/optional-typing/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/optional-typing/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/async-and-await/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/async-and-await/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/async-and-await/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/async-and-await/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bounded-concurrency/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bounded-concurrency/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
